Settlement ,URI,URI 2,Museum ,Museum number,Type,Material ,Technique,Gender,Part of,shape,Iconography,Clothes ,Culture Museum Atribution,Date,Period,Heigh ,width,Depth ,Length,Diameter ,weight,Inscription,Language,Find spot,Description,Hair,Function,Reasoned classification,Bibliograhy ,Pleiades URI,URI 3
Abdera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/265762,
Acci (Guadix),arachne.dainst.org/entity/20278,,,,group,,sculpted,,,,group,,Roman,,,,,,,,,,,https://gazetteer.dainst.org/app/#!/show/2109036,,,,,,https://pleiades.stoa.org/places/265765,
Acci (Guadix),,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?ninv=CE01430&volver=busquedaSimple&k=Acci&lng=es,Museo arqueológico y etnológico de Granada,CE01430,milestone,Marble,sculpted,,road,cylindrical ,,,Roman,260-268 CE,Roman Empire ,109,,,,29,,"IMP· CAES· / M· C]ASSIANI / VS LATI]NIVS POS / TVMVS] PIVS FEL· / INVICTVS] AVG. / GER]· MAX· / [TRIB· POT] / [COS III· P·P· / (PROCOS· RES / TITVIT] Imp(erator) Caes(ar)/ [M(arcus) C]assiani/ [us Lati]nius Pos/ [tumus] Pius Fel(ix)/[Invictus] Aug(ustus)/ [Ger](manicus)] Max(imus) [trib(unitia) pot(estate)]/ [(C]o[n]s(ul] III [P(ater) P(atriae)]/ [Proc[o]ns(ul) restituit] (Lo restauró, colocándolo nuevamente en su sitio, el Emperador Marco Casiano Latinio Póstumo, Pío Feliz, Invicto, Augusto, Germánico, Máximo, con su tribunicia potestad, cónsul por III vez, padre de la patria y procónsul.)",Latin ,"Guadix (Guadix (district), Granada) Find, 1880 [ca], [It was found in the vicinity of the Guadix hospital on a date before 1880.]","Fragment of circular cipo with a polished surface. Its state of conservation is bad: it needs a piece in the lower part and a bit of the upper one. It has large debris and chipping around its perimeter, especially in the lower left, which is so worn that even the initial letters of the last four lines have been lost. The deterioration affects, to a great extent, the epigraphic text, which could have been reconstructed, however, based on other parallels.",,Milestone,"We do not know the exact location of this miliary, but it is likely that it was erected on the road called 'Via Augusta' and, specifically, on the section Carthago-Nova-Basti-Acci-Cástulo. There are few milestones that have been preserved around Acci, because when passing the road through fertile lands, near the rivers, these, by erosive processes, have had to drag the miliaries to hide them in their own channels or on the farm lands near them. This would be one of the few examples of this route as it passes through Guadix. From this road section have appeared, so far, 17 miles, of which 5 are from Augusto, one of them, also from our province: Cullar Baza, another, from Numeriano, the one we studied, from Posthumus, and the rest without being able to be precise with accuracy. The first stretch of the road, close to the fertile plain and the rivers (Guadix, Benalúa, Bejarí, Fardes), was intended to take the mining products from the southeast of the peninsula towards the coast. Chronologically, the miliary corresponds to the year 260, one of the years of the government of the Posthumous Emperor: M. Cassianius Latinius Postumus, creator of the Imperium Galliarum (259-268), located on the margin of the Central Empire of Rome and himself considered a usurper . This kingdom included the whole Gallia, from the Rhine to the Rhône, and all of Hispania and Britain. His main task was the fight against the Germans. The titles he receives in coins and inscriptions are the same as those worn by the Roman emperors: Pius, Felix, Invistus, Augustus, Pater Patriae and is covered with the Roman pontificate, the tribunitia potestate, consulate, proconsulate, etc. In his reign these miliarios show their excessive care for the maintenance of Roman roads and roads, so important for the Empire.","HÜBNER, E.. \i1 Corpus Inscriptionum Latinarum II (CIL II).\i0 1892. nº 4943. 

PASTOR MUÑOZ, M.. \i1 Corpus de inscripciónes latinas de Andalucía. Volumen IV: Granada.\i0 2002. p. 183-184, fig. 95. 

PASTOR MUÑOZ, M.; MENDOZA EGUARAS, A.. \i1 Inscripciones latinas de la provincia de Granada.\i0 1987. nº 76 p. 147-149; Granada: Universidad. 

VIVES, J.. \i1 Inscripciones latinas de la España romana (ILER).\i0 1971. nº 2034.
",https://pleiades.stoa.org/places/265765,
Acci (Guadix),,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MAEGR&musid=9&ninv=CE09494&volver=portal&k=guadix&tipoBusqueda=simple&lng=es,Museo arqueológico y etnológico de Granada,CE09494,statue,Marble,sculpted,Female,body,body,Female figure / Venus?,tunic,Roman ,300-400 CE,Late Roman Empire,50,17,14,,,,,,"Villa de Paulenca, Guadix (Guadix (district), Granada): Late Roman Villa
Casual find, 1971, Santero Saturino, José Mª
[The Roman town of Paulenca is located about 3 km west of Guadix, in the surroundings of Paulenca, a hamlet attached to the municipality of that town, in an area belonging to the payment of the Ponderosa. The sculpture appeared, along with construction materials and ceramics, when performing works of land recess. The following year an archaeological excavation was carried out.]","Figure called Venus de Paulenca. It represents a woman dressed in a tunic. The sculpture rests on the left leg, which serves as a support, while bending the right, which protrudes at the height of the knee, to later delay the foot. This movement causes a twist that highlights the left hip and gives the figure a suggestive pose. She wears a transparent tunic, cinched by a ribbon under her breasts and leaving the left uncovered. On the tunic he wears a complicated cloak, which he held with his right hand (lost) over his head, in an attitude of covering himself, while the left hand (also lost) came forward, either to hold the folds of the mantle, or to offer a apple or other type of object, in a very characteristic attitude of Venus. The sinuous folds of the mantle, which fall heavily to the right of the figure, until suddenly turning in a whirlwind of curves and finally descend between the two legs, complicate the figure by its baroque. The state of conservation is good, saving the ancient loss of the head and arms and the concretions of the surface of the marble.",,Decorative,"This small sculpture is likely to be a representation of Aphrodite / Venus, inserted within the ornamental program of the villa. In Roman mythology Venus was an important goddess mainly related to love, beauty and fertility. She was the wife of Vulcan, was considered ancestor of the Roman people through its legendary founder, Aeneas, and played a crucial role in many Roman religious festivals and myths. Roman and Hellenistic art produced many variations on the goddess, often based on the Praxitelian type of the Venus de Milo.","SANTERO SANTURINO, J. \i1 ´Una villa tardo-romana en Paulenca (Guadix)´.\i0 1975. p. 225-269.; Noticiario Arqueológico Hispánico. Arqueología. 3. Madrid: Servicio de Publicaciones del Ministerio de Educación y Ciencia.
",https://pleiades.stoa.org/places/265765,
Acci (Guadix),arachne.dainst.org/entity/1116668,,MAN,,capitel ,Marble,sculpted,,monument,capitel,wreath leaves and four figures ,,Roman,,Imperial period,34,,,,41,,,,https://gazetteer.dainst.org/app/#!/show/2109036,"Decoration The leaf wreath consists of eight dense, little articulated acanthus leaves. Above, in the middle of each page, a bract with jagged lobes, spread out into the plane. At the corners, in place of the volutes, big heads reaching down to the wreath. The center-parted, stringy hair is deeply lowered at the sides and is adorned with laurel twigs that grow diagonally from the bract. On the obverse, which is distinguished by a row of leaves on the abacus, stands on the bract, reaching to the upper camp, a pine cone, on the back of a round structure (Patera?) Corresponds.",,Arquitectonic/Decorative,,"Mercklin, E. v. (1962) Nr. 316.",https://pleiades.stoa.org/places/265765,
Acinipo ,https://arachne.dainst.org/entity/1114512,,"Casa del Ayuntamiento, Ronda, Málaga ",,statue,Marble,sculpted,Male,,body ,togatus without head ,dressed with tunica and calceoli ,Roman ,,,153,52,32,,,,,,,,,Self-representation,,"M. Fariña del Corral, Antigüedades de Ronda, Ms. en 4. de la Real Academia de la Historia 27, gr., sexta ed., núm. 185, cap. V.
J. Oliver Hurtado – M. Oliver Hurtado, Munda Pompeiana (Madrid 1861) 291
J. M. de Rivera, Diálogos de memorias erúditas para la Historia de la nobilísima ciudad de Ronda (Córdoba 1766) 19 Nr. 1
J. J. Moreti, Historia de la muy noble y muy leal ciudad de Ronda (Ronda 1867) 126 (mit Druck der gezeichneten Figuren)
R. Amador de los Rios, Catálogo de los Monumentos Históricos y artísticos de la provincia de Málaga II S. 342 ff. 407 ff.
Vicente Espinel, Vida del escudero Marcos de Obregón, Clásicos castalia 5 (Madrid 1972) Descanso 20, 279 f.
bei Baena del Alcazar, L. (1984) S. 24 erwähnt
J. Gonzalez Rosado, Acinipo (1967) 62 Abb. 59
Baena, L. (1996) 40 Taf. 2 Abb. 3
Baena del Alcázar, L. (1982) 257-261. 608. 755
Baena, Jábega 46 , 1984, 3 f. Nr. 1 Abb. 2-4 (2 gute Fotos)
Baena Alcántara, M. D. (2000) 10 Nr. B 8 Taf. 3, 3
Franz, A. (2001) Nr. III.2.4
Rodriguez Oliva, P. (1993) 30.",https://pleiades.stoa.org/places/255950,
Acinipo ,https://arachne.dainst.org/entity/1114511,,"Casa del Ayuntamiento, Ronda, Málaga ",,statue,Marble,sculpted,Male,,body ,togatus without head ,dressed with tunica and bare foot,Roman ,1st century BCE ,Early Roman Empire,150,56,25,,,,,,,"Dating: more accurate, late-Augustan-early-Tiberian. Ronda la Vieja corresponds to the ancient city of Acinipo. Ronda itself is the ancient Arunda, where also archaeol. Finds were recovered, including some sculptures, s. S. Gimenez Reyna, memoria arqueológica de la provincia de Málaga hasta 1946 in: Informes y Memorias No. 12 (Madrid 1946) 61 f. and three inscriptions CIL II 1358-59. 1369. Reyna also mentions a columbarium or family grave (p. 62) in the nearby village of Algatocín; This Togatus and the female robed statue in the town hall have always been a pair in literature; Another sculpture found in Acinipo = finger fragment of a larger than life marble statue (7 cm long and 11 cm thick, almost the same finger nail up to just before the second joint, see Baena, Jabega 46, 1984, 6 No. 5 Fig. 11; In the vicinity of Ronda installed in a wall: Taurus sculpture with abdominal fascia now exhibited in Madrid MAN, see Baena, ao O 7 f No. 6 Fig. 10. Franz is considering joint formation of the Togatus with the female robe statue serial No. 79539 or at least, that they were created by the same artist, catalog piece C xy
The right hand reaches out with its fingers out in the sinus room and raises it lightly, the left hand reaches loosely into the ascending umbo. The Balteus is drawn tight. Umbo covers the Balteus but does not overlap. The sinus margin covers just under the knee. The illustrated statues can be found, so Baena, Jabega, p. 5, in the copies, the smaller, Roman Group Portraiture (1977) Fig. 2, 7, 26, 34, 50 56 etc. again. Prototype on Ara Pacis for arm support. Hispanic Paralleen to Baena, Jabega: AO Tarragona, s. García y Bellido (1949) pl. 159; A0 Seville, s. Reinach, Rep. St-V 357, 5 and J. M. Luzón, El teatro romano de Itálica in: El teatro en la Hispania romana Plate 14; AO Merida, s. Lantier, Inventaire Plate 14 Fig. 24. In Italy: Mus. Chiaramonti from the Via Appia, s. Amelung Vat. Mus. I 33, 15 and FO Santa Maria di Capua Vetere, s. Franciscis, Sta. Maria Capua Vetere. Ruderi di Casa Romana (1952) 310 Fig. 2",,Self-representation,,"M. Fariña del Corral, Antigüedades de Ronda, Ms. en 4. de la Real Academia de la Historia 27, gr., Sexta ed., Núm. 185, cap. V.
J. Oliver Hurtado - M. Oliver Hurtado, Munda Pompeiana (Madrid 1861) 291
J. M. de Rivera, Diálogos de memorias erúditas para la Historia de la nobilísima ciudad de Ronda (Córdoba 1766) 19 no. 1
J. J. Moreti, Historia de la muy noble y muy leal ciudad de Ronda (Ronda 1867) 126 (with printing of the drawn figures)
R. Amador de los Rios, Catálogo de los Monumentos Históricos y artísticos de la provincia de Málaga II p. 355
Vicente Espinel, Vida del escudero Marcos de Obregón, Clásicos castalia 5 (Madrid 1972) Descanso 20, 279 f.
J. Gonzalez Rosado, Acinipo (1967) Fig. 58
Baena del Alcázar, L. (1982) 257-261. 608. 755
L. Baena, Jábega 46, 1984, 4 ff. No. 2 fig. 1. 5-9
Baena, L. (1996) 40 Plate 2 Fig. 3
Franz, A. (2001) No. III.1.1.14
in Baena del Alcazar, L. (1984) p. 24 only",https://pleiades.stoa.org/places/255950,
Acinipo ,Toro votivo de Acinipo. ,,Private collection Jerez de la Frontera ,,votive offering,sandstone,sculpted,,,body ,bull ,dorsuale,Ibero-Roman,1st century BCE,Ibero-Roman,"33,5","33,5",,,,,,,,,,religious/ votive,,"Rodriguez Oliva, Actas segunda reunion sobre escultura Romana en Hispania (bilingual sculpture)
A. Balil (1974) Sullárte de la Peninsula Iberca in Eta Romana (romano-iberian)
Jimenez, A (2008) Imagines Hibridae (hibdrid pieces) ",https://pleiades.stoa.org/places/255950,
Acinipo ,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MASE&musid=17&ninv=REP08627&volver=portal&k=acinipo&tipoBusqueda=simple&lng=es,Museo arqueológico de Sevilla,EP08627,votive offering,bronze,"Foundry
Burled incision
Drilling
Polished",,,body ,ram,,Roman,1-300 CE,Late Roman Empire,3,"1,2","2,9",,,"25,6 gr",,,"Ronda la Vieja, Ronda (Serranía de Ronda (comarca), Málaga) 
[""Sitio identificado con la ciudad de ""Acinipo""""]

","Figure of ram in erect position, with the head in front. The curly coat, indicated with slight incisions in the back part. The horns visible, and the features without indicating. The front and rear legs are joined two to two",,religious/ votive,"The ram is associated in the Roman world with the cult of the gods Mercury and Pan, with a sense of guidance and generation. According to the dimensions and characteristics, it could be part of the pedestal of some of these gods, although this precision is not possible due to the absence of archaeological context",,https://pleiades.stoa.org/places/255950,
Acinipo ,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MASE&musid=17&ninv=REP08628&volver=portal&k=acinipo&tipoBusqueda=simple&lng=es,Museo arqueológico de Sevilla,REP08628,votive offering,bronze,"Foundry
Burled incision
Drilling
Polished",Male,body,hand,right hand ,,Roman ,1-300 CE,Late Roman Empire,3,"1,4","0,6",,,"11,6 gr",,,"Ronda la Vieja, Ronda (Serranía de Ronda (comarca), Málaga) 
[""Sitio identificado con la ciudad de ""Acinipo""""]

","Men's right hand, in exonerated position. The thumb separated from the rest, which remain together. The flat palm, without working, and the back with indication of the nails and knuckles. On the wrist, slight incisions, representing the hair. At the height of the wrist, remains of a circular hole. Good treatment of the back, with the surface well polished. Light green patina
",,religious/ votive,"The figurines of hands and other parts of the body are related in the Roman world with votive offerings, as an expression of some grace granted. Normally they are suspended from some support, as evidenced by the piercing of the wrist, in sanctuaries or buildings related to the cult and healing activity",,https://pleiades.stoa.org/places/255950,
