Settlement ,Pleiades URI,Entity ,URI,Type ,Type,Gender,Origin,shape,Iconography,Culture ,Date,Material ,Heigh ,weigh,Depth ,Inscription ,Hair
Abdera,https://pleiades.stoa.org/places/265762,,,,,,,,,,,,,,,,
Acci,https://pleiades.stoa.org/places/265765,20278,arachne.dainst.org/entity/20278,sculpture,group,,,,,Roman,,,,,,,
Acci,https://pleiades.stoa.org/places/265765,1114709,arachne.dainst.org/entity/1114709,sculpture,togatus,,,,,Roman,3rd ct. AD,bronze,160,60,,,
Acci,https://pleiades.stoa.org/places/265765,114896,arachne.dainst.org/entity/1114896,sculpture,statues pedestal,,,,,Roman,,Marble,149,80,58,Latin ,
Acinipo ,https://pleiades.stoa.org/places/255950,,,,,,,,,,,,,,,,
Ad Aras,https://pleiades.stoa.org/places/265767,,,,,,,,,,,,,,,,
Ad Decumo 1,http://data.open.ac.uk/paula/place/ad_decumo-1,,,,,,,,,,,,,,,,
Ad Decumo 2,http://data.open.ac.uk/paula/place/ad_decumo-2,,,,,,,,,,,,,,,,
Ad Gemellas ,https://pleiades.stoa.org/places/265771,,,,,,,,,,,,,,,,
Ad Herculem ,https://pleiades.stoa.org/places/255953,,,,,,,,,,,,,,,,
Ad Lucos ,https://pleiades.stoa.org/places/265773,,,,,,,,,,,,,,,,
Ad Noulas ,http://data.open.ac.uk/paula/place/ad_Noulas ,,,,,,,,,,,,,,,,
Ad Pontem,https://pleiades.stoa.org/places/257476,,,,,,,,,,,,,,,,
Ad Rubras ,https://pleiades.stoa.org/places/255956,,,,,,,,,,,,,,,,
Adamuz/ Sacili,http://www.geonames.org/2522438/adamuz.html,,,,,,,,,,,,,,,,
Agatucci ,https://pleiades.stoa.org/places/265784,,,,,,,,,,,,,,,,
Aiungi,https://pleiades.stoa.org/places/265785,,,,,,,,,,,,,,,,
Anticaria ,https://pleiades.stoa.org/places/265799,,,,,,,,,,,,,,,,
Aratispi,https://pleiades.stoa.org/places/265801,,,,,,,,,,,,,,,,
Arcilacis? Asido? ,https://pleiades.stoa.org/places/255994,,,,,,,,,,,,,,,,
Arsa ,https://pleiades.stoa.org/places/256159,,,,,,,,,,,,,,,,
Artigi,https://pleiades.stoa.org/places/255990,,,,,,,,,,,,,,,,
Arucci ,https://pleiades.stoa.org/places/255991,,,,,,,,,,,,,,,,
Arunda,https://pleiades.stoa.org/places/255992,,,,,,,,,,,,,,,,
Arva ,https://pleiades.stoa.org/places/255993,,,,,,,,,,,,,,,,
Asta Regia,https://pleiades.stoa.org/places/256193,,,,,,,,,,,,,,,,
Astigi,https://pleiades.stoa.org/places/255996,,,,,,,,,,,,,,,,
Ategua,https://pleiades.stoa.org/places/265808,,,,,,,,,,,,,,,,
Aurgi,https://pleiades.stoa.org/places/265810,,,,,,,,,,,,,,,,
Axati,https://pleiades.stoa.org/places/256002,,,,,,,,,,,,,,,,
Baedro,https://pleiades.stoa.org/places/256004,,,,,,,,,,,,,,,,
Baelo Claudia ,https://pleiades.stoa.org/places/256005,,,,,,,,,,,,,,,,
Baesippo,https://pleiades.stoa.org/places/256007,,,,,,,,,,,,,,,,
Barba ,https://pleiades.stoa.org/places/256453,,,,,,,,,,,,,,,,
Barbariana,https://pleiades.stoa.org/places/256017,,,,,,,,,,,,,,,,
Barbesula ,https://pleiades.stoa.org/places/256016,,,,,,,,,,,,,,,,
Basilippo,https://pleiades.stoa.org/places/256020,,https://www.europeana.eu/portal/es/record/2022703/oai_euromuseos_mcu_es_euromuseos_MASE_REP27402.html?q=carmona+sevilla,sculpture,body ,Male,,body,togatus,Roman ,1 st ct. AD ,marble,140,66,35,,
Batora ,https://pleiades.stoa.org/places/265825,,,,,,,,,,,,,,,,
Bora ,https://pleiades.stoa.org/places/265829,,,,,,,,,,,,,,,,
Caepionis Turris ,https://pleiades.stoa.org/places/256038,,,,,,,,,,,,,,,,
Caetaria,https://pleiades.stoa.org/places/256103,,,,,,,,,,,,,,,,
Calecula ,https://pleiades.stoa.org/places/260521,,,,,,,,,,,,,,,,
Calecula ,https://pleiades.stoa.org/places/265835,,,,,,,,,,,,,,,,
Callet ,https://pleiades.stoa.org/places/256043,,,,,,,,,,,,,,,,
Calpe,https://pleiades.stoa.org/places/256045,,,,,,,,,,,,,,,,
Calpurniana ,https://pleiades.stoa.org/places/265836,,,,,,,,,,,,,,,,
Canania,https://pleiades.stoa.org/places/256048,,,,,,,,,,,,,,,,
Carbula ,https://pleiades.stoa.org/places/256056,,,,,,,,,,,,,,,,
Carissa Aurelia,https://pleiades.stoa.org/places/256057,,,,,,,,,,,,,,,,
Carmo ,https://pleiades.stoa.org/places/256058,1063892,arachne.dainst.org/entity/1063892,sculpture,statue tomb,Male,tomb,body,,Roman ,1st ct. AD claudian,marble,87,,,,
Carmo ,https://pleiades.stoa.org/places/256058,1083885,arachne.dainst.org/entity/1063885,sculpture,statue tomb,Female,tomb,body,,Roman ,2nd ct. AD ,marble,159,,,,
Carmo ,https://pleiades.stoa.org/places/256058,1115894,arachne.dainst.org/entity/1115894,sculpture,fragment,Male,satue,leg,,Roman ,,marble,60,,,,
Carmo ,https://pleiades.stoa.org/places/256058,1115895,arachne.dainst.org/entity/1115895,sculpture,fragment,Male,statue,leg,,Roman ,,marble,,,,,
Carmo ,https://pleiades.stoa.org/places/256058,1115905,arachne.dainst.org/entity/1115905,sculpture,mask,Male,,face,Dionysos,Roman ,,marble,,,,,
Carmo ,https://pleiades.stoa.org/places/256058,1115904,arachne.dainst.org/entity/1115904,sculpture,Portrait ,Female,,head,,Roman ,Iulio-claudian,marble,,,,,
Carmo ,https://pleiades.stoa.org/places/256058,1115902,arachne.dainst.org/entity/1115902,sculpture,Portrait ,Female,,head,,Roman ,flavian,marble,35,,,,
Carmo ,https://pleiades.stoa.org/places/256058,1115903,arachne.dainst.org/entity/1115903,sculpture,Portrait,Female,tomb,head,,Roman ,augustus,marble,34,,,,
Carmo ,https://pleiades.stoa.org/places/256058,1115899,arachne.dainst.org/entity/1115899,sculpture,Portrait ,Male,,head,,Roman ,Iulio-claudian,marble,33,,,,
Carmo ,https://pleiades.stoa.org/places/256058,1115893,arachne.dainst.org/entity/1115893,sculpture,Body,Male,https://gazetteer.dainst.org/app/#!/show/2114476,torse and legs,Attis,Ibero-Roman,,marble,47,,,,
Carmo ,https://pleiades.stoa.org/places/256058,1115901,arachne.dainst.org/entity/1115901,sculpture,Portrait,Female,tomb,head,,Roman,,marble,32,,,,
Carmo ,https://pleiades.stoa.org/places/256058,1115896,arachne.dainst.org/entity/1115896,sculpture,Body,Female,Monument,torse and legs,nymph,Roman,,marble,,,,,
Carmo ,https://pleiades.stoa.org/places/256058,1186698,arachne.dainst.org/entity/1186698,sculpture,Body,Male,https://gazetteer.dainst.org/app/#!/show/2114476,torse and legs,,Ibero-Roman,,marble,,,,,
Carmo ,https://pleiades.stoa.org/places/256058,1186699,arachne.dainst.org/entity/1186699,sculpture,Animal ,,https://gazetteer.dainst.org/app/#!/show/2114476,body,elephant,Ibero-Roman,,marble,,,,,
Carmo ,https://pleiades.stoa.org/places/256058,1185925,arachne.dainst.org/entity/1185925,sculpture,Portrait,Male,tomb,head,,Roman,,marble,32,,,,
Carmo ,https://pleiades.stoa.org/places/256058,1063887,arachne.dainst.org/entity/1063887,sculpture,Portrait,Male,,head,,Roman,,marble,,,,,
Carmo ,https://pleiades.stoa.org/places/256058,1063894,arachne.dainst.org/entity/1063894,sculpture,Portrait ,Female,,head,,Roman ,,marble,,,,,
Carmo ,https://pleiades.stoa.org/places/256058,1083889,arachne.dainst.org/entity/1063889,sculpture,Portrait,Male,,head,,Roman,Republic,marble,,,,,
Carmo ,https://pleiades.stoa.org/places/256058,1063896,arachne.dainst.org/entity/1063896,sculpture,Portrait ,Female,,head,,Roman ,,marble,,,,,"Hair hairstyle tied up, parted hair, neck-length hair, horizontal ribs, pigtail hairstyle"
Carmo ,https://pleiades.stoa.org/places/256058,1063895,arachne.dainst.org/entity/1063895,sculpture,Portrait,Male,,head,,Roman,,marble,,,,,Hair hairstyle tied up; parted hair; wavy hair forehead hair parted; 
Carmo ,https://pleiades.stoa.org/places/256058,1063893,arachne.dainst.org/entity/1063893,sculpture,Portrait,Male,,head,,Roman,,marble,,,,,"Hair Hairstyle Shorthair Hair on the front combed hair, parted, strands hair plain"
Carmo ,https://pleiades.stoa.org/places/256058,1063886,arachne.dainst.org/entity/1063886,sculpture,Portrait,Male,,head,,Roman,,marble,,,,,Hair hairstyle shorthair forehead hair strands hair slightly wavy
Carmo ,https://pleiades.stoa.org/places/256058,1063897,arachne.dainst.org/entity/1063897,sculpture,Portrait,Male,,head,,Roman,,marble,,,,,Hair hairstyle neck-length hair; wavy hair forehead hair back-painted hair
Carmo ,https://pleiades.stoa.org/places/256058,1063890,arachne.dainst.org/entity/1063890,sculpture,fragment,Male,,head,,Roman,,marble,,,,,Hair hairstyle short hair forehead hair strands hair simple; combed hair forward
Carmo ,https://pleiades.stoa.org/places/256058,1063891,arachne.dainst.org/entity/1063891,sculpture,fragment,Male,,head,,Roman,,marble,,,,,Hair hairstyle shorthair
Carmo ,https://pleiades.stoa.org/places/256058,1063899,arachne.dainst.org/entity/1063899,sculpture,fragment,Male,,head,,Roman,,marble,,,,,"Hair hairstyle hair tied up, pigtail hairstyle"
Carmo ,https://pleiades.stoa.org/places/256058,1117281,arachne.dainst.org/entity/1117281,construction,,,,round altar,,Roman,,,,,,,
Carmo ,https://pleiades.stoa.org/places/256058,,https://www.europeana.eu/portal/es/record/2022703/oai_euromuseos_mcu_es_euromuseos_MASE_REP1998_150.html?q=carmona+sevilla,sculpture,Portrait,Female,statue,head ,June,Roman,76-100 AD ,marble,"40,5",19,"24,5",,
Carmo ,https://pleiades.stoa.org/places/256058,,https://www.europeana.eu/portal/es/record/2022703/oai_euromuseos_mcu_es_euromuseos_MASE_REP1998_149.html?q=carmona+sevilla,sculpture,Portrait,Male,statue,head,Mars,Roman,76-100 AD ,marble,49,27,32.50,,
Carruca,https://pleiades.stoa.org/places/256062,,,,,,,,,,,,,,,,
Carteia,https://pleiades.stoa.org/places/256063,1114896,,,,,,,,,,,,,,,
Cartima,https://pleiades.stoa.org/places/265851,,,,,,,,,,,,,,,,
Castra Postumiana ,https://pleiades.stoa.org/places/265853,,,,,,,,,,,,,,,,
El Castillejo,,,,,,,,,,,,,,,,,
Caura ,https://pleiades.stoa.org/places/256086,,,,,,,,,,,,,,,,
Caviclum,https://pleiades.stoa.org/places/265857,,,,,,,,,,,,,,,,
Celti ,https://pleiades.stoa.org/places/256089,,,,,,,,,,,,,,,,
Cilniana ,https://pleiades.stoa.org/places/256106,,,,,,,,,,,,,,,,
Cisimbrium,https://pleiades.stoa.org/places/265867,,,,,,,,,,,,,,,,
Conobaria,https://pleiades.stoa.org/places/256124,,,,,,,,,,,,,,,,
Contosolia ,https://pleiades.stoa.org/places/256125,,,,,,,,,,,,,,,,
Contributa ,https://pleiades.stoa.org/places/256126,,,,,,,,,,,,,,,,
Corduba,https://pleiades.stoa.org/places/256128,1087769,arachne.dainst.org/entity/1114399,sculpture,,,,,,,,,,,,,
,,114399,arachne.dainst.org/entity/1114804,sculpture,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Corticata ,https://pleiades.stoa.org/places/256244,,,,,,,,,,,,,,,,
Curiga ,https://pleiades.stoa.org/places/256147,,,,,,,,,,,,,,,,
Ébora ,https://pleiades.stoa.org/places/255962,,,,,,,,,,,,,,,,
Ebura Cerealis,https://pleiades.stoa.org/places/265882,,,,,,,,,,,,,,,,
El Laderón ,https://pleiades.stoa.org/places/265945,,,,,,,,,,,,,,,,
El Tajo,https://pleiades.stoa.org/places/256135,,,,,,,,,,,,,,,,
Epora,https://pleiades.stoa.org/places/265893,,,,,,,,,,,,,,,,
Fodina Aerariae ,https://pleiades.stoa.org/places/256170,,,,,,,,,,,,,,,,
Fornacis ,https://pleiades.stoa.org/places/256362,,,,,,,,,,,,,,,,
Fuente Alamo,http://dare.ht.lu.se/places/40005.html,,,,,,,,,,,,,,,,
Gades,https://pleiades.stoa.org/places/256177,,,,,,,,,,,,,,,,
Hispalis,https://pleiades.stoa.org/places/256210,,,,,,,,,,,,,,,,
Igabrum,https://pleiades.stoa.org/places/265919,,,,,,,,,,,,,,,,
Iliberri,https://pleiades.stoa.org/places/265921,,,,,,,,,,,,,,,,
Ilipa Magna,https://pleiades.stoa.org/places/256222,,,,,,,,,,,,,,,,
Ilipoula/ Ilipla ,https://pleiades.stoa.org/places/256221,,,,,,,,,,,,,,,,
Ilipula Minor ,https://pleiades.stoa.org/places/256224,,,,,,,,,,,,,,,,
Iliturgi,https://pleiades.stoa.org/places/265924,,,,,,,,,,,,,,,,
Iliturgicola ,https://pleiades.stoa.org/places/265925,,,,,,,,,,,,,,,,
Ilurco,https://pleiades.stoa.org/places/265930,,,,,,,,,,,,,,,,
Iluro,https://pleiades.stoa.org/places/256225,,,,,,,,,,,,,,,,
Ipagrum,https://pleiades.stoa.org/places/256226,,,,,,,,,,,,,,,,
Ipolcobulcola,https://pleiades.stoa.org/places/265935,,,,,,,,,,,,,,,,
Iponoba,https://pleiades.stoa.org/places/265936,,,,,,,,,,,,,,,,
Iporca,https://pleiades.stoa.org/places/256227,,,,,,,,,,,,,,,,
Ipsca ,https://pleiades.stoa.org/places/265937,,,,,,,,,,,,,,,,
Iptuci,https://pleiades.stoa.org/places/265938,,,,,,,,,,,,,,,,
Irippo ,https://pleiades.stoa.org/places/256229,,,,,,,,,,,,,,,,
Irni,https://pleiades.stoa.org/places/256230,,,,,,,,,,,,,,,,
Isturgi,https://pleiades.stoa.org/places/265939,,,,,,,,,,,,,,,,
Italica,https://pleiades.stoa.org/places/256231,,arachne.dainst.org/entity/1087769,relief,body,Female,Monument,body,Medea,Roman,,,,,,,
Itucci ,https://pleiades.stoa.org/places/256232,,,,,,,,,,,,,,,,
Iulia Traducta,https://pleiades.stoa.org/places/256235,,,,,,,,,,,,,,,,
Iulipa,https://pleiades.stoa.org/places/256236,,,,,,,,,,,,,,,,
La Coronela ,https://pleiades.stoa.org/places/256065,,,,,,,,,,,,,,,,
Lacca ,https://pleiades.stoa.org/places/256247,,,,,,,,,,,,,,,,
Lacilbula ,https://pleiades.stoa.org/places/256107,,,,,,,,,,,,,,,,
Lacimurga Constantia Iulia ,https://pleiades.stoa.org/places/256250,,,,,,,,,,,,,,,,
"Lacipo, Lacippo ",https://pleiades.stoa.org/places/256252,,,,,,,,,,,,,,,,
Lacunis ,https://pleiades.stoa.org/places/256253,,,,,,,,,,,,,,,,
Laelia,https://pleiades.stoa.org/places/256254,,,,,,,,,,,,,,,,
Laelia? ,https://pleiades.stoa.org/places/256254,,,,,,,,,,,,,,,,
Laepia Regia ,https://pleiades.stoa.org/places/260584,,,,,,,,,,,,,,,,
Lascuta ,https://pleiades.stoa.org/places/256258,,,,,,,,,,,,,,,,
Los castellares ,https://pleiades.stoa.org/places/260496,,,,,,,,,,,,,,,,
Lucis Dubiae Fanum,http://data.open.ac.uk/paula/place/Lucis_Dubiae_Fanun,,,,,,,,,,,,,,,,
Lucurgentum,https://pleiades.stoa.org/places/256275,,,,,,,,,,,,,,,,
Maenoba ,https://pleiades.stoa.org/places/265959,,,,,,,,,,,,,,,,
Malaca,https://pleiades.stoa.org/places/265963,,,,,,,,,,,,,,,,
Mellaria,https://pleiades.stoa.org/places/256293,,,,,,,,,,,,,,,,
Mellaria 2,https://pleiades.stoa.org/places/256292,,,,,,,,,,,,,,,,
Mentesa Bastitanorum ,https://pleiades.stoa.org/places/265970,,,,,,,,,,,,,,,,
Mercablum ,https://pleiades.stoa.org/places/256295,,,,,,,,,,,,,,,,
Miróbriga,https://pleiades.stoa.org/places/256303,,,,,,,,,,,,,,,,
Mons Mariorum ,https://pleiades.stoa.org/places/265966,,,,,,,,,,,,,,,,
Mons Marmorum ,http://data.open.ac.uk/paula/place/Mons_Marmorum,,,,,,,,,,,,,,,,
Mons Solorium ,https://pleiades.stoa.org/places/266046,,,,,,,,,,,,,,,,
Montoro,https://pleiades.stoa.org/places/265973,,,,,,,,,,,,,,,,
Monturque ,https://pleiades.stoa.org/places/265974,,,,,,,,,,,,,,,,
Munda ,https://pleiades.stoa.org/places/256314,,,,,,,,,,,,,,,,
Munigua ,https://pleiades.stoa.org/places/256318,,,,,,,,,,,,,,,,
Murgi,http://pleiades.stoa.org/places/265977,,,,,,,,,,,,,,,,
